epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.503,1.69397,1.31276,0.95079,0.43689,0.23991,0.22681,0.12497,1.62465,1.05217,0.9198,0.000369876,0.000369876,0.000369876
2,701.254,1.69964,1.12916,0.92668,0.48592,0.24487,0.24568,0.13453,1.58679,1.01521,0.90734,0.000710897,0.000710897,0.000710897
3,1030.24,1.68023,1.08993,0.91649,0.41407,0.28701,0.27424,0.1536,1.56725,0.96677,0.90089,0.00102259,0.00102259,0.00102259
5,1759.87,1.62282,1.02058,0.90684,0.46683,0.30603,0.29577,0.16257,1.5252,0.9336,0.89007,0.000935018,0.000935018,0.000935018
6,2090.46,1.60358,0.99291,0.89919,0.46698,0.3036,0.29832,0.16876,1.50936,0.92414,0.88373,0.000891022,0.000891022,0.000891022
7,2418.51,1.60381,0.98285,0.89417,0.4923,0.302,0.29655,0.16048,1.50968,0.93054,0.88522,0.000847026,0.000847026,0.000847026
8,2749.47,1.57157,0.956,0.89072,0.46826,0.31382,0.31298,0.17681,1.47982,0.89055,0.8814,0.000803031,0.000803031,0.000803031
9,3100.82,1.55824,0.94277,0.88851,0.4677,0.3248,0.31654,0.17763,1.47169,0.8981,0.88345,0.000759035,0.000759035,0.000759035
10,3429.36,1.55229,0.93205,0.88609,0.47893,0.31893,0.31577,0.17679,1.46941,0.89335,0.8773,0.00071504,0.00071504,0.00071504
11,3757.1,1.54786,0.92332,0.88299,0.50514,0.31775,0.32717,0.1839,1.44968,0.87599,0.87816,0.000671044,0.000671044,0.000671044
12,4102.46,1.5299,0.90454,0.88168,0.50492,0.33427,0.33441,0.18669,1.45712,0.87233,0.87418,0.000627048,0.000627048,0.000627048
13,4430.47,1.51937,0.89448,0.87914,0.50576,0.3283,0.33085,0.18569,1.44813,0.85894,0.87497,0.000583053,0.000583053,0.000583053
14,4758.6,1.51964,0.88618,0.87684,0.53369,0.32389,0.33582,0.19041,1.44062,0.85205,0.87459,0.000539057,0.000539057,0.000539057
15,5088,1.50211,0.87358,0.875,0.5227,0.33081,0.33478,0.19079,1.43487,0.85232,0.87121,0.000495062,0.000495062,0.000495062
16,5411.64,1.44884,0.83359,0.87087,0.51441,0.33729,0.33963,0.19307,1.43213,0.85694,0.87017,0.000451066,0.000451066,0.000451066
17,5736.28,1.43834,0.82398,0.8711,0.5002,0.32774,0.33484,0.19022,1.42647,0.85438,0.86751,0.00040707,0.00040707,0.00040707
18,6059.49,1.43346,0.81493,0.86725,0.53746,0.32859,0.33981,0.19518,1.41535,0.84062,0.86631,0.000363075,0.000363075,0.000363075
19,6382.54,1.41553,0.80113,0.86656,0.53003,0.33799,0.34548,0.19673,1.41578,0.83609,0.87052,0.000319079,0.000319079,0.000319079
20,6705.44,1.41114,0.78967,0.86522,0.53094,0.33951,0.3452,0.19824,1.40637,0.83771,0.86651,0.000275084,0.000275084,0.000275084
21,7028.35,1.40115,0.78176,0.86308,0.53277,0.34039,0.34453,0.19751,1.40101,0.82642,0.86549,0.000231088,0.000231088,0.000231088
22,7350.47,1.39228,0.7714,0.86054,0.55577,0.33729,0.35009,0.20038,1.40207,0.82052,0.86582,0.000187092,0.000187092,0.000187092
23,7674.11,1.39144,0.76521,0.85669,0.56653,0.33613,0.35138,0.20128,1.39454,0.81725,0.86435,0.000143097,0.000143097,0.000143097
24,7998.52,1.37405,0.75309,0.85915,0.55488,0.33806,0.35305,0.20178,1.3923,0.81229,0.86388,9.91012e-05,9.91012e-05,9.91012e-05
25,8327.35,1.36887,0.74525,0.85558,0.55521,0.34117,0.35286,0.20255,1.38784,0.81048,0.86451,5.51056e-05,5.51056e-05,5.51056e-05
